book_name,book_image,author,page,short_description,programming_language,concept,tool,ratings,user_id
Instant Apache Sqoop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/7/5767os.jpg,By Ankit Jain,58,Transfer data efficiently between RDBMS and the Hadoop ecosystem using the robust Apache Sqoop,Java,Data Processing,Hadoop,5,53
Apache Kafka Quick Start Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788997829_cover.png,By Raúl Estrada,186,Process large volumes of data in real-time while building high performance and robust data stream pr...,Java,Data Processing,Kafka,2,198
Apache Kafka Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04968_apache20kafka20cookbook_.jpg,By Saurabh Minni,128,"Over 50 hands-on recipes to efficiently administer, maintain, and use your Apache Kafka installation",Java,Data Processing,Kafka,5,244
Learning Pentaho Data Integration 8 CE - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788292436202.png,"By María Carina Roldán",500,"Get up and running with the Pentaho Data Integration tool using this hands-on, easy-to-read guide",Java,Data Processing,Pentaho,2,26
Learning Pentaho CTools,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/4/3420os_4770_learning20pentaho20ctools.jpg,By Miguel Gaspar,388,Acquire finesse with CTools features and build rich and custom analytics solutions using Pentaho,Java,Data Processing,Pentaho,4,151
Pentaho 8 Reporting for Java Developers,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07143.png,By Francesco Corti,470,Create reports and solve common report problems with minimal fuss.,Java,Data Processing,Pentaho,4,124
Mastering Splunk,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/8/3830en_b02115_mastering20splunk_0.jpg,By James D. Miller,344,Optimize your machine-generated data effectively by developing advanced analytics with Splunk,Java,Data Processing,Splunk,5,24
Mastering Apache Storm,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06182_cover.png,By Ankit Jain,284,Master the intricacies of Apache Storm and develop real-time stream processing applications with eas...,Java,Data Processing,Storm,3,271
Storm Blueprints: Patterns for Distributed Real-time Computation,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781782168294.png,By P. Taylor Goetz,336,One of the best ways of getting to grips with the world’s most popular framework for real-time proce...,Java,Data Processing,Storm,4,307
Learning Storm,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783981328.png,By Ankit Jain,252,Create real-time stream processing applications with Apache Storm,Java,Data Processing,Storm,4,294
Real-time Analytics with Storm and Cassandra,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/4/5490os_3472_learning20real-time20analytics20with20storm20and20cassandra_cov.jpg,By Shilpi,220,Solve real-time analytics problems effectively using Storm and Cassandra,Java,Data Processing,Storm,3,234
Mastering Apache Cassandra,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/6/2681os.jpg,By Nishant Neeraj,340,"Learn how to build more robust, scalable databases using Cassandra. From beginners to intermediates,...",Java,Database Administration,Cassandra,4,25
Cassandra 3.x High Availability - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/1/2107os_5601_cassandra203.x20high20availability.jpg,By Robbie Strickland,196,Achieve scalability and high availability without compromising on performance,Java,Database Administration,Cassandra,3,293
Learning HBase,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783985944.png,By Shashwat Shriparv,326,Learn the fundamentals of HBase administration and development with the help of real-time scenarios,Java,Database Administration,HBase,1,201
HBase High Performance Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/0/3063.jpg,By Ruchir Choudhry,350,Exciting projects that will teach you how complex data can be exploited to gain maximum insights,Java,Database Administration,HBase,4,75
Getting Started with MariaDB - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/1/4120os_getting20started20with20mariadb20update.jpg,By Daniel Bartholomew,140,Explore the powerful features of MariaDB with practical examples,Java,Database Administration,MariaDB,1,13
Neo4j Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/2/7253os.jpg,By Ankur Goel,226,Harness the power of Neo4j to perform complex data analysis over the course of 75 easy-to-follow rec...,Java,Database Administration,Neo4j,5,207
Oracle ADF Enterprise Application Development - Made Simple (Second Edition),www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/8/6800en_oracle_0.jpg,By Sten E. Vesterli,432,The simplest way to learn Oracle's ADF is to follow an enterprise development process from start to ...,Java,Database Administration,Oracle ADF,3,2
Oracle Database 11gR2 Performance Tuning Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/6/2602en_oracle20database2011gr220performance20tuning20cookbook_cov.jpg,By Ciro Fiorillo,542,Shifting your Oracle Database into top gear takes a lot of know-how and fine-tuning ability. The 80+...,Java,Database Administration,Oracle Database,4,313
Oracle 10g/11g Data and Database Management Utilities,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/2/6286_mockupcover.jpg,By Hector R. Madrid,432,Master 12 must-use Oracle Database Utilities with this Oracle book and eBook,Java,Database Administration,Oracle Database,3,144
Oracle 10g/11g Data and Database Management Utilities: LITE,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3722en_oracle2010g11g20data20and20database20management20utilities_lite.jpg,By Hector R. Madrid,96,"Oracle Session Management, Oracle Wallet Manager, and Oracle Security Management with this book and ...",Java,Database Administration,Oracle Database,4,188
Oracle Enterprise Manager Cloud Control 12c: Managing Data Center Chaos,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/7/4781en_oracle20enterprise20manager201220managing20databases20and20applications_0.jpg,By Porus Homi Havewala (Oracle Certified Master),394,Take back control of your data center with this practical step-by-step tutorial to using Oracle Ente...,Java,Database Administration,Oracle Enterprise Manager,4,276
Oracle SOA Suite 12c Administrator's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/8/0860en_2614_oracle20soa20suite2012c20administrator27s20guide_0.jpg,By Arun Pareek,456,A guide to everything an Oracle SOA Suite 12c administrator needs to hit the ground running,Java,Database Administration,Oracle SOA Suite,4,145
Amazon SimpleDB Developer Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7344en_mockupcover20template.jpg,By Prabhakar Chaganti,252,Scale your application's database on the cloud using Amazon SimpleDB with this book and eBook,Java,Database Programming,Amazon SimpleDB,3,72
Mastering Apache Cassandra 3.x - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b10410_0.png,By Aaron Ploetz,348,"Build, manage, and configure high-performing, reliable NoSQL database for your applications with Cas...",Java,Database Programming,Cassandra,3,83
Learning Apache Cassandra,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783989201.png,By Mat Brown,246,"Build an efficient, scalable, fault-tolerant, and highly-available data layer into your application ...",Java,Database Programming,Cassandra,5,181
Mastering Apache Cassandra - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/6/2611os.jpg,By Nishant Neeraj,350,"Build, manage, and configure high-performing, reliable NoSQL database for your application with Cass...",Java,Database Programming,Cassandra,4,109
Getting Started with Hazelcast,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7303os.jpg,By Mat Johns,136,"Learn how to write rich, interactive web applications using HTML5 and CSS3 through real-world exampl...",Java,Database Programming,Hazelcast,4,207
MongoDB for Java Developers,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/2/0276os_mongodb20for20java20developers.jpg,By Francesco Marchioni,192,"Design, build, and deliver efficient Java applications using the most advanced NoSQL database",Java,Database Programming,MongoDB,2,185
MongoDB Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/9/1943os_mongodb20cookbook_0.jpg,By Amol Nayak,388,"Over 80 practical recipes to design, deploy, and administer MongoDB",Java,Database Programming,MongoDB,1,14
Learning Neo4j 3.x - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05824_cover.png,By Jérôme Baton,316,Run blazingly fast queries on complex graph datasets with the power of the Neo4j graph database,Java,Database Programming,Neo4j,4,149
Oracle Coherence 3.5,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/1/6125_mockupcover_0.jpg,By Aleksandar Seovic,408,Create Internet-scale applications using Oracle's Coherence high-performance data grid with this boo...,Java,Database Programming,Oracle Coherence,1,57
Oracle Database XE 11gR2 Jump Start Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/7/6747en20_cov_0.jpg,By Asif Momen,146,"Build and manage your Oracle Database 11g XE environment with this fast paced, practical guide with ...",Java,Database Programming,Oracle Database,2,230
Intel Galileo Networking Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/1/1198os_intel20galileo20networking20cookbook.jpg,By Marco Schwartz,174,Over 50 recipes that will help you use the Intel Galileo board to build exciting network-connected p...,C#,Networking,Galileo,4,176
OpenVPN Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786463128.png,By Jan Just Keijser,400,Discover over 90 practical and exciting recipes that leverage the power of OpenVPN 2.4 to help you o...,C#,Networking,OpenVPN,4,253
Troubleshooting OpenVPN,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05404.png,By Eric F Crist,178,Get the solutions you need to troubleshoot any issue you may face to keep your OpenVPN up and runnin...,C#,Networking,OpenVPN,4,284
OpenVPN:  Building and Integrating Virtual Private Networks,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/9/190481185x.jpg,By Markus Feilner,270,Learn how to build secure VPNs using this powerful Open Source application,C#,Networking,OpenVPN,3,106
Getting Started with MariaDB,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/0/8096os_cover.jpg,By Daniel Bartholomew,100,MariaDB is growing in popularity as a “drop-in” replacement for MySQL. Now you can quickly learn how...,C++,Database Administration,MariaDB,3,121
Troubleshooting PostgreSQL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5314os.jpg,By Hans-Jürgen Schönig,164,Intercept problems and challenges typically faced by PostgreSQL database administrators with the bes...,C++,Database Administration,PostgreSQL,3,62
Mastering PostgreSQL 10,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08773_cover.png,By Hans-Jürgen Schönig,428,Master the capabilities of PostgreSQL 10 to efficiently manage and maintain your database,C++,Database Administration,PostgreSQL,4,291
SAP HANA Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/6/7623en_sap20hana20cookbook.jpg,By Chandrasekhar Mankala,284,Your all-inclusive guide to understanding SAP HANA with practical recipes with over 50 recipes,C++,Database Administration,SAP Hana,1,84
Learning Embedded Linux Using the Yocto Project,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7395os.jpg,By Alexandru Vaduva,334,Develop powerful embedded Linux systems with the Yocto Project components,C++,Embedded Systems,Yocto Project,2,293
Getting Started with MariaDB,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/0/8096os_cover.jpg,By Daniel Bartholomew,100,MariaDB is growing in popularity as a “drop-in” replacement for MySQL. Now you can quickly learn how...,C,Database Administration,MariaDB,3,207
Troubleshooting PostgreSQL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5314os.jpg,By Hans-Jürgen Schönig,164,Intercept problems and challenges typically faced by PostgreSQL database administrators with the bes...,C,Database Administration,PostgreSQL,2,194
Mastering PostgreSQL 10,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08773_cover.png,By Hans-Jürgen Schönig,428,Master the capabilities of PostgreSQL 10 to efficiently manage and maintain your database,C,Database Administration,PostgreSQL,4,109
SAP HANA Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/6/7623en_sap20hana20cookbook.jpg,By Chandrasekhar Mankala,284,Your all-inclusive guide to understanding SAP HANA with practical recipes with over 50 recipes,C,Database Administration,SAP Hana,4,283
Learning Embedded Linux Using the Yocto Project,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7395os.jpg,By Alexandru Vaduva,334,Develop powerful embedded Linux systems with the Yocto Project components,C,Embedded Systems,Yocto Project,4,297
Angular Test-Driven Development - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786465474.png,By Md. Ziaul Haq,252,Enhance your testing skills to build powerful and fault-free applications in Angular v4,JavaScript,Application Testing,Angular,4,181
AngularJS Testing Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3742os.jpg,By Simon Bailey,180,Eliminate volatile code by taking control and understanding how to test AngularJS applications,JavaScript,Application Testing,Angular,2,78
Backbone.js Testing,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/2/5248os.jpg,By Ryan Roemer,168,"If you dread the business of testing JavaScript and Backbone.js web applications, this book is your ...",JavaScript,Application Testing,Backbone.js,2,11
Getting Started with Grunt: The JavaScript Task Runner,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/6/0628os_getting20started.jpg,By Jaime Pillora,132,If you know JavaScript you ought to know Grunt – the Task Runner for managing sophisticated web appl...,JavaScript,Application Testing,Grunt,4,308
Jasmine JavaScript Testing - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/0/2041os.jpg,By Paulo Ragonha,134,Test your JavaScript applications efficiently using Jasmine and React.js,JavaScript,Application Testing,Jasmine,4,193
Jasmine Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/1/7166os.jpg,By Munish Sethi,276,Over 35 recipes to design and develop Jasmine tests to produce world-class JavaScript applications,JavaScript,Application Testing,Jasmine,4,297
Creating Dynamic UI with Android Fragments,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783283095.png,By Jim Wilson,122,"Make your Android apps a superior, silky-smooth experience for the end-user with this comprehensive ...",Java,Android Development,Android Fragments,5,87
Android Studio 3.5 Development Essentials - Kotlin Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781951442002-original_63.png,By Neil Smyth,812,Learn how Kotlin reduces the code verbosity and simplifies Android application development,Java,Android Development,Android SDK,4,250
Android Studio 3.5 Development Essentials - Java Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781951442019-original_154.jpeg,By Neil Smyth,778,The essential guide for developing high-end Android applications in Java,Java,Android Development,Android SDK,4,8
Android Studio Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785286186.png,By Mike van Drongelen,232,"Design, test, and debug your apps using Android Studio",Java,Android Development,Android Studio,3,186
Mastering Android Studio 3,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05429_0.png,By Kyle Mew,220,Unleash the power of Android Studio 3 to develop mobile applications faster and efficiently.,Java,Android Development,Android Studio,4,312
CakePHP Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/8/1847193897.jpg,By Ahsanul Bari,332,Step-by-step introduction to rapid web development using the open-source MVC CakePHP framework,PHP,Application Development,CakePHP,4,91
FuelPHP Application Development Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/4/5401os_b00876_fuelphp20application20development20blueprints.jpg,By Sébastien Drouyer,284,Supercharge your projects by designing and implementing web applications with FuelPHP,PHP,Application Development,FuelPHP,3,5
Laravel Application Development Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/1/2111os_1.jpg,By Arda Kılıçdağı,260,For intermediate to advanced PHP programmers this is the perfect volume for mastering Laverel. It st...,PHP,Application Development,Laravel,1,291
Yii Application Development Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/1/3107os.jpg,By Alexander Makarov,408,This book is the perfect way to add the capabilities of Yii to your PHP5 development skills. Dealing...,PHP,Application Development,Yii,4,175
Zend Framework 2 Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/1/2100os_cov.jpg,By Christopher Valles,298,PHP developers can create more powerful applications using the flexibility of Zend Framework 2. This...,PHP,Application Development,Zend Framework,4,145
Alfresco Developer Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/8/1847193110.jpg,By Jeff Potts,556,"Customizing Alfresco with actions, web scripts, web forms, workflows, and more",PHP,CMS,Alfresco,4,7
The Applied AI and Natural Language Processing Workshop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781800208742-original_137.png,By Krishna Sankar,384,"With the help of engaging activities, learn how to leverage Amazon Web Services for building serverl...",Python,Artificial Intelligence,AWS,1,276
IBM Watson Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789343717-20copy.png,By James D. Miller,340,Incorporate intelligence to your data-driven business insights and high accuracy business solutions,Python,Artificial Intelligence,IBM Watson,4,83
The Applied Artificial Intelligence Workshop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781800205819-original_113.jpeg,By Anthony So,420,"With knowledge and information shared by experts, take your first steps towards creating scalable AI...",Python,Artificial Intelligence,Jupyter,3,102
Hands-On Intelligent Agents with OpenAI Gym,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b09513.png,By Praveen Palanisamy,254,"Implement intelligent agents using PyTorch to solve classic AI problems, play console games like Ata...",Python,Artificial Intelligence,OpenAI Gym,3,153
The Artificial Intelligence Infrastructure Workshop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781800209848-original_281.jpeg,By Chinmay Arankalle,732,Explore how a data storage system works – from data ingestion to representation,Python,Artificial Intelligence,PySpark,3,62
Artificial Intelligence for IoT Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838981983-original_32.png,By Michael Roshak,260,Implement machine learning and deep learning techniques to perform predictive analytics on real-time...,Python,Artificial Intelligence,Raspberry Pi,5,49
Big Data Visualization,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04671.png,By James D. Miller,304,Learn effective tools and techniques to separate big data into manageable and logical components for...,R,Big Data,D3,1,268
Big Data Analytics with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05396_cover.png,By Simon Walkowiak,506,Utilize R to uncover hidden patterns in your Big Data,R,Big Data,Hadoop,3,207
Big Data Analytics with R and Hadoop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/2/3282os.jpg,By Vignesh Prajapati,238,"If you’re an R developer looking to harness the power of big data analytics with Hadoop, then this b...",R,Big Data,Hadoop,5,313
Hands-On Exploratory Data Analysis with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789804379-original_32.png,By Radhika Datar,266,Learn exploratory data analysis concepts using powerful R packages to enhance your R data analysis s...,R,Data Analysis,ggplot,5,286
Data Analysis with R - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08285_cover.png,By Tony Fischetti,570,"Learn, by example, the fundamentals of data analysis as well as several intermediate to advanced met...",R,Data Analysis,RStudio,4,279
Mastering R for Quantitative Finance,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/0/2097_2078ot_mastering20r20for20quantitative20finance.jpg,By Edina Berlinger,362,Use R to optimize your trading strategy and build up your own risk management system,R,Data Analysis,RStudio,4,276
Microsoft Azure: Enterprise Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/9/0981en_microsoft_azure_enterprise_application_development_cov.jpg,By Richard J. Dudley,248,Straight talking advice on how to design and build enterprise applications for the cloud using Micro...,SQL,Application Development,Azure,5,62
Mastering SQL Queries for SAP Business One,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/3/2367en_mastering20sql20queries20for20sap20business20one.jpg,By Gordon Du,352,Exploit one of the most powerful features of SAP Business One with this practical guide to mastering...,SQL,Application Development,SAP Business One,3,254
Big Data Forensics - Learning Hadoop Investigations,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785288104.png,By Joe Sremack,264,Perform forensic investigations on Hadoop clusters with cutting-edge tools and techniques,SQL,Big Data,Hadoop,4,83
MySQL 8 for Big Data,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08220_cover_0.png,By Shabbir Challawala,266,Uncover the power of MySQL 8 for Big Data,SQL,Big Data,MySQL,4,63
Talend for Big Data,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/4/9499os__talend20for20big20data_cover.jpg,By Bahaaldine Azarmi,96,"If you want to start working on big data projects fast, this is the guide you’ve been looking for. D...",SQL,Big Data,Talend,2,16
Expert Cube Development with Microsoft SQL Server 2008 Analysis Services,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/2/7221_expert20cube20development20with20microsoft20sql20server20200820analysis20services_frontcover.jpg,By Alberto Ferrari,360,"Design and implement fast, scalable and maintainable cubes with Microsoft SQL Server 2008 Analysis S...",SQL,Business Intelligence,Microsoft SQL Server Analysis Services,5,297
Mastering Swift 5 - Fifth Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789139860-original_26.png,By Jon Hoffman,370,Harness the power of the latest edition with this in-depth and comprehensive guide to the Swift lang...,Swift,Application Development,iOS,5,90
Continuous Delivery for Mobile with fastlane,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/o/cover_3.png,By Doron Katz,346,"Learn continuous deployment and automation with code-signing, continuous testing, building, deployin...",Swift,Continuous Integration,Fastlane,5,85
Swift 3 Functional Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img3880.jpg,By Dr. Fatih Nayebi,296,"Bring the power of Swift functional programming to iOS, Web, macOS, watchOS and tvOS application dev...",Swift,Functional Programming,iOS,5,42
Swift Functional Programming - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781787284500.png,By Dr. Fatih Nayebi,316,"Bring the power of functional programming to Swift to develop clean, smart, scalable and reliable ap...",Swift,Functional Programming,Xcode,2,303
Mastering iOS 14 Programming - Fourth Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838822842-original_86.png,By Mario Eguiluz Alebicto,558,"Become a professional iOS developer with the most in-depth and advanced guide to Swift 5.3, Xcode 12...",Swift,iOS Development,iOS,5,274
iOS 14 Programming for Beginners - Fifth Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781800209749-original_383.jpeg,By Ahmad Sahar,766,Learn iOS app development and work with the latest Apple development tools,Swift,iOS Development,iOS,3,104
Intel Galileo Networking Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/1/1198os_intel20galileo20networking20cookbook.jpg,By Marco Schwartz,174,Over 50 recipes that will help you use the Intel Galileo board to build exciting network-connected p...,C#,Networking,Galileo,5,94
OpenVPN Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786463128.png,By Jan Just Keijser,400,Discover over 90 practical and exciting recipes that leverage the power of OpenVPN 2.4 to help you o...,C#,Networking,OpenVPN,3,184
Troubleshooting OpenVPN,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05404.png,By Eric F Crist,178,Get the solutions you need to troubleshoot any issue you may face to keep your OpenVPN up and runnin...,C#,Networking,OpenVPN,2,293
OpenVPN:  Building and Integrating Virtual Private Networks,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/9/190481185x.jpg,By Markus Feilner,270,Learn how to build secure VPNs using this powerful Open Source application,C#,Networking,OpenVPN,4,248
Getting Started with Simulink,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/3/1386en.jpg,By Luca Zamboni,126,"Written by an experienced engineer, this book will help you utilize the great user-friendly features...",C#,Networking,Simulink,3,18
Zabbix 1.8 Network Monitoring,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/6/7689_mockupcover_raw.jpg,By Rihards Olups,428,"Monitor your network hardware, servers, and web performance effectively and efficiently",C#,Networking,Zabbix,4,217
Getting Started with MariaDB,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/0/8096os_cover.jpg,By Daniel Bartholomew,100,MariaDB is growing in popularity as a “drop-in” replacement for MySQL. Now you can quickly learn how...,C++,Database Administration,MariaDB,3,200
Troubleshooting PostgreSQL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5314os.jpg,By Hans-Jürgen Schönig,164,Intercept problems and challenges typically faced by PostgreSQL database administrators with the bes...,C++,Database Administration,PostgreSQL,3,201
Mastering PostgreSQL 10,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08773_cover.png,By Hans-Jürgen Schönig,428,Master the capabilities of PostgreSQL 10 to efficiently manage and maintain your database,C++,Database Administration,PostgreSQL,1,296
SAP HANA Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/6/7623en_sap20hana20cookbook.jpg,By Chandrasekhar Mankala,284,Your all-inclusive guide to understanding SAP HANA with practical recipes with over 50 recipes,C++,Database Administration,SAP Hana,4,7
Learning Embedded Linux Using the Yocto Project,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7395os.jpg,By Alexandru Vaduva,334,Develop powerful embedded Linux systems with the Yocto Project components,C++,Embedded Systems,Yocto Project,4,196
Getting Started with MariaDB,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/0/8096os_cover.jpg,By Daniel Bartholomew,100,MariaDB is growing in popularity as a “drop-in” replacement for MySQL. Now you can quickly learn how...,C,Database Administration,MariaDB,5,69
Troubleshooting PostgreSQL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5314os.jpg,By Hans-Jürgen Schönig,164,Intercept problems and challenges typically faced by PostgreSQL database administrators with the bes...,C,Database Administration,PostgreSQL,3,72
Mastering PostgreSQL 10,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08773_cover.png,By Hans-Jürgen Schönig,428,Master the capabilities of PostgreSQL 10 to efficiently manage and maintain your database,C,Database Administration,PostgreSQL,5,256
